P_ID,EQ,Turns,TT,C1,C2,C3,C4,C5,TI,RelSol,EI_group,EQ_z,Turns_z,TT_z,C1_z,C2_z,C3_z,C4_z,C5_z,TI_z,RelSol_z
P17,68,34,7,1,1,1,3,1,20.6,14.3,Low,-1.9918739111347612,-1.4069574752215182,-1.8904990781385893,-1.6889667538623057,-1.243734296383275,-2.284052659577738,0.25605448342736686,-0.2564828045702031,-2.277998003515004,-1.1054802296464281
P18,115,46,14,4,4,3,2,1,30.4,28.6,Medium,0.3597481391876144,0.5723496411510746,0.010864937230681314,0.18766297265136717,0.0,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.3982084755218225,0.16539100469266008
P19,104,38,11,3,2,3,2,1,28.9,18.2,Medium,-0.1906314896112395,-0.7471884364306539,-0.8040053550704347,-0.4378802695198571,-0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.6859313624595544,-0.758878983917586
P20,128,50,16,4,7,3,1,1,32.0,43.8,High,1.0101967914044416,1.2321186799419388,0.5541117987647586,0.18766297265136717,1.243734296383275,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-0.09130406278824146,1.5162471418922499
P21,111,41,13,3,4,3,2,1,31.7,30.8,Medium,0.1596100923516675,-0.25236165733750576,-0.2607584935363573,-0.4378802695198571,0.0,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.14884864017578797,0.3609096561294428
P22,135,48,19,5,8,3,2,1,39.6,42.1,High,1.3604383733673486,0.9022341605465066,1.3689820910658745,0.8132062148225915,1.6583123951777,0.50137741307804,-0.35359904854255436,-0.2564828045702031,1.3664918976962674,1.3651645476001908
P23,87,36,15,3,2,2,6,2,41.7,13.3,Low,-1.0412181886640137,-1.077072955826086,0.28248836799772,-0.4378802695198571,-0.82915619758885,-0.8913376232498492,2.0850150793371305,2.593326135098718,1.7693039394090924,-1.1943523439358747
P24,106,42,12,4,3,3,1,1,28.6,25.0,Medium,-0.09056246619326606,-0.08741939763978969,-0.532381924303396,0.18766297265136717,-0.414578098794425,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-0.7434759398471003,-0.15454860674934823
P25,120,45,14,4,5,3,1,1,31.1,35.7,High,0.609920697732548,0.4074073814533585,0.010864937230681314,0.18766297265136717,0.414578098794425,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-0.2639377949508804,0.7963830161477319
P26,95,37,10,3,2,2,2,1,27.0,20.0,Low,-0.64094209499212,-0.9121306961283699,-1.0756287858374733,-0.4378802695198571,-0.82915619758885,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-1.0503803525806812,-0.5989091781965818
P27,79,33,9,2,1,1,4,2,27.3,11.1,Low,-1.4414942823359074,-1.571899734919234,-1.347252216604512,-1.0634235116910813,-1.243734296383275,-2.284052659577738,0.8657080153972881,2.593326135098718,-0.9928357751931347,-1.3898709953726576
P28,119,46,15,3,6,3,2,1,32.6,40.0,High,0.5598861860235612,0.5723496411510746,0.28248836799772,-0.4378802695198571,0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.02378509198685159,1.1785331075923526
P29,140,51,22,7,9,3,2,1,43.1,40.9,High,1.6106109319122823,1.3970609396396547,2.1838523833669905,2.06429269916504,2.0728904939721247,0.50137741307804,-0.35359904854255436,-0.2564828045702031,2.037845300550975,1.2585180104528544
P30,103,39,11,3,3,2,2,1,28.2,27.3,Medium,-0.24066600132022622,-0.5822461767329379,-0.8040053550704347,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.8202020430304958,0.04985725611637929
P31,108,44,13,4,3,3,2,1,29.5,23.1,Medium,0.009506557224707363,0.24246512175564242,-0.2607584935363573,0.18766297265136717,-0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.5708422076844614,-0.3234056238992969
P32,127,49,17,5,6,3,2,1,34.7,35.3,High,0.960162279695455,1.0671764202442227,0.8257352295317972,0.8132062148225915,0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.4265971336996766,0.7608341704319528
P33,81,32,12,2,2,2,5,1,37.5,16.7,Low,-1.341425258917934,-1.7368419946169502,-0.532381924303396,-1.0634235116910813,-0.82915619758885,-0.8913376232498492,1.4753615473672095,-0.2564828045702031,0.9636798559834423,-0.8921871553517561
P34,107,40,11,3,4,2,1,1,27.5,36.4,Medium,-0.04052795448427935,-0.4173039170352218,-0.8040053550704347,-0.4378802695198571,0.0,-0.8913376232498492,-0.9632525805124756,-0.2564828045702031,-0.9544727236014373,0.8585934961503442
P35,131,54,18,5,8,3,1,1,33.3,44.4,High,1.1603003265314018,1.891887718732803,1.0973586602988359,0.8132062148225915,1.6583123951777,0.50137741307804,-0.9632525805124756,-0.2564828045702031,0.15805577255779235,1.569570410465918
P36,92,40,12,3,2,3,3,1,30.0,16.7,Low,-0.7910456301190801,-0.4173039170352218,-0.532381924303396,-0.4378802695198571,-0.82915619758885,0.50137741307804,0.25605448342736686,-0.2564828045702031,-0.4749345787052174,-0.8921871553517561
P37,69,35,8,1,1,2,3,1,22.9,12.5,Low,-1.9418393994257745,-1.242015215523802,-1.6188756473715507,-1.6889667538623057,-1.243734296383275,-0.8913376232498492,0.25605448342736686,-0.2564828045702031,-1.8368229102104823,-1.2654500353674323
P38,116,47,15,4,5,3,2,1,31.9,33.3,Medium,0.4097826508966011,0.7372919008487906,0.28248836799772,0.18766297265136717,0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.11048558858409052,0.5830899418530593
P39,105,39,12,3,3,3,2,1,30.8,25.0,Medium,-0.14059697790225278,-0.5822461767329379,-0.532381924303396,-0.4378802695198571,-0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.32148237233842686,-0.15454860674934823
P40,129,51,17,5,7,3,1,1,33.3,41.2,High,1.0602313031134285,1.3970609396396547,0.8257352295317972,0.8132062148225915,1.243734296383275,0.50137741307804,-0.9632525805124756,-0.2564828045702031,0.15805577255779235,1.2851796447396888
P41,113,42,14,4,3,3,3,1,33.3,21.4,Medium,0.2596791157696409,-0.08741939763978969,0.010864937230681314,0.18766297265136717,-0.414578098794425,0.50137741307804,0.25605448342736686,-0.2564828045702031,0.15805577255779235,-0.47448821819135656
P42,137,50,20,6,8,4,1,1,40.0,40.0,High,1.4605073967853222,1.2321186799419388,1.6406055218329132,1.4387494569938157,1.6583123951777,1.894092449405929,-0.9632525805124756,-0.2564828045702031,1.4432180008796622,1.1785331075923526
P43,84,38,13,3,2,2,5,1,34.2,15.4,Low,-1.191321723790974,-0.7471884364306539,-0.2607584935363573,-0.4378802695198571,-0.82915619758885,-0.8913376232498492,1.4753615473672095,-0.2564828045702031,0.3306895047204326,-1.0077209039280368
P44,104,40,12,3,4,3,1,1,30.0,33.3,Medium,-0.1906314896112395,-0.4173039170352218,-0.532381924303396,-0.4378802695198571,0.0,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-0.4749345787052174,0.5830899418530593
P45,123,46,17,5,6,3,2,1,37.0,35.3,High,0.7600242328595082,0.5723496411510746,0.8257352295317972,0.8132062148225915,0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.8677722270041983,0.7608341704319528
P46,93,36,11,2,2,3,3,1,30.6,18.2,Low,-0.7410111184100934,-1.077072955826086,-0.8040053550704347,-1.0634235116910813,-0.82915619758885,0.50137741307804,0.25605448342736686,-0.2564828045702031,-0.3598454239301243,-0.758878983917586
P47,77,33,10,2,1,2,5,1,30.3,10.0,Low,-1.541563305753881,-1.571899734919234,-1.0756287858374733,-1.0634235116910813,-1.243734296383275,-0.8913376232498492,1.4753615473672095,-0.2564828045702031,-0.41739000131767084,-1.487630321091049
P48,117,47,15,4,5,3,2,1,31.9,33.3,Medium,0.4598171626055878,0.7372919008487906,0.28248836799772,0.18766297265136717,0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.11048558858409052,0.5830899418530593
P49,141,53,21,7,9,4,1,1,39.6,42.9,High,1.660645443621269,1.7269454590350868,1.9122289525999518,2.06429269916504,2.0728904939721247,1.894092449405929,-0.9632525805124756,-0.2564828045702031,1.3664918976962674,1.4362622390317479
P50,102,39,11,3,3,2,2,1,28.2,27.3,Low,-0.29070051302921296,-0.5822461767329379,-0.8040053550704347,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.8202020430304958,0.04985725611637929
P51,110,44,13,4,3,3,2,1,29.5,23.1,Medium,0.10957558064268079,0.24246512175564242,-0.2607584935363573,0.18766297265136717,-0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.5708422076844614,-0.3234056238992969
P52,125,48,18,5,6,3,3,1,37.5,33.3,High,0.8600932562774816,0.9022341605465066,1.0973586602988359,0.8132062148225915,0.82915619758885,0.50137741307804,0.25605448342736686,-0.2564828045702031,0.9636798559834423,0.5830899418530593
P53,82,32,14,2,1,2,7,2,43.8,7.1,Low,-1.2913907472089472,-1.7368419946169502,0.010864937230681314,-1.0634235116910813,-1.243734296383275,-0.8913376232498492,2.6946686113070517,2.593326135098718,2.172115981121916,-1.7453594525304443
P54,108,40,12,3,4,3,1,1,30.0,33.3,Medium,0.009506557224707363,-0.4173039170352218,-0.532381924303396,-0.4378802695198571,0.0,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-0.4749345787052174,0.5830899418530593
P55,130,55,21,7,7,4,2,1,38.2,33.3,High,1.1102658148224152,2.056829978430519,1.9122289525999518,2.06429269916504,1.243734296383275,1.894092449405929,-0.35359904854255436,-0.2564828045702031,1.0979505365543845,0.5830899418530593
P56,91,40,11,3,2,3,2,1,27.5,18.2,Low,-0.8410801418280668,-0.4173039170352218,-0.8040053550704347,-0.4378802695198571,-0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.9544727236014373,-0.758878983917586
P57,68,34,9,1,0,1,6,1,26.5,0.0,Low,-1.9918739111347612,-1.4069574752215182,-1.347252216604512,-1.6889667538623057,-1.6583123951777,-2.284052659577738,2.0850150793371305,-0.2564828045702031,-1.1462879815599252,-2.3763514639855163
P58,115,46,14,4,4,3,2,1,30.4,28.6,Medium,0.3597481391876144,0.5723496411510746,0.010864937230681314,0.18766297265136717,0.0,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.3982084755218225,0.16539100469266008
P59,104,38,10,3,3,2,1,1,26.3,30.0,Medium,-0.1906314896112395,-0.7471884364306539,-1.0756287858374733,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.9632525805124756,-0.2564828045702031,-1.1846510331516227,0.2898119646978854
P60,128,50,19,6,7,3,2,1,38.0,36.8,High,1.0101967914044416,1.2321186799419388,1.3689820910658745,1.4387494569938157,1.243734296383275,0.50137741307804,-0.35359904854255436,-0.2564828045702031,1.0595874849626863,0.8941423418661228
P61,106,42,12,3,3,3,2,1,28.6,25.0,Medium,-0.09056246619326606,-0.08741939763978969,-0.532381924303396,-0.4378802695198571,-0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.7434759398471003,-0.15454860674934823
P62,132,50,19,6,7,3,2,1,38.0,36.8,High,1.2103348382403885,1.2321186799419388,1.3689820910658745,1.4387494569938157,1.243734296383275,0.50137741307804,-0.35359904854255436,-0.2564828045702031,1.0595874849626863,0.8941423418661228
P63,88,38,15,2,1,2,7,3,39.5,6.7,Low,-0.991183676955027,-0.7471884364306539,0.28248836799772,-1.0634235116910813,-1.243734296383275,-0.8913376232498492,2.6946686113070517,5.443135074767638,1.3473103719004182,-1.7809082982462232
P64,115,44,14,4,4,3,2,1,31.8,28.6,Medium,0.3597481391876144,0.24246512175564242,0.010864937230681314,0.18766297265136717,0.0,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.1296671143799389,0.16539100469266008
P65,102,40,11,3,3,2,2,1,27.5,27.3,Low,-0.29070051302921296,-0.4173039170352218,-0.8040053550704347,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.9544727236014373,0.04985725611637929
P66,74,34,10,1,1,2,5,1,29.4,10.0,Low,-1.691666840880841,-1.4069574752215182,-1.0756287858374733,-1.6889667538623057,-1.243734296383275,-0.8913376232498492,1.4753615473672095,-0.2564828045702031,-0.5900237334803105,-1.487630321091049
P67,128,48,18,5,7,3,2,1,37.5,38.9,High,1.0101967914044416,0.9022341605465066,1.0973586602988359,0.8132062148225915,1.243734296383275,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.9636798559834423,1.0807737818739611
P68,110,42,13,4,3,3,2,1,31.0,23.1,Medium,0.10957558064268079,-0.08741939763978969,-0.2607584935363573,0.18766297265136717,-0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.2831193207467294,-0.3234056238992969
P69,145,52,24,8,9,4,2,1,46.2,37.5,High,1.8607834904572158,1.5620031993373709,2.727099244901068,2.6898359413362645,2.0728904939721247,1.894092449405929,-0.35359904854255436,-0.2564828045702031,2.6324726002222882,0.9563528218687357
P70,97,38,10,3,2,2,2,1,26.3,20.0,Low,-0.5408730715741465,-0.7471884364306539,-1.0756287858374733,-0.4378802695198571,-0.82915619758885,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-1.1846510331516227,-0.5989091781965818
P71,118,46,16,5,5,3,2,1,34.8,31.3,High,0.5098516743145746,0.5723496411510746,0.5541117987647586,0.8132062148225915,0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.4457786594955243,0.4053457132741662
P72,108,40,12,3,4,2,2,1,30.0,33.3,Medium,0.009506557224707363,-0.4173039170352218,-0.532381924303396,-0.4378802695198571,0.0,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.4749345787052174,0.5830899418530593
P73,81,36,13,2,1,2,6,1,36.1,7.7,Low,-1.341425258917934,-1.077072955826086,-0.2607584935363573,-1.0634235116910813,-1.243734296383275,-0.8913376232498492,2.0850150793371305,-0.2564828045702031,0.6951384948415594,-1.6920361839567766
P74,122,48,17,5,6,3,2,1,35.4,35.3,High,0.7099897211505214,0.9022341605465066,0.8257352295317972,0.8132062148225915,0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.5608678142706174,0.7608341704319528
P75,114,44,14,4,3,3,3,1,31.8,21.4,Medium,0.3097136274786277,0.24246512175564242,0.010864937230681314,0.18766297265136717,-0.414578098794425,0.50137741307804,0.25605448342736686,-0.2564828045702031,-0.1296671143799389,-0.47448821819135656
P76,90,38,10,2,2,3,2,1,26.3,20.0,Low,-0.8911146535370535,-0.7471884364306539,-1.0756287858374733,-1.0634235116910813,-0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-1.1846510331516227,-0.5989091781965818
P77,65,32,8,1,0,1,5,1,25.0,0.0,Low,-2.1419774462617216,-1.7368419946169502,-1.6188756473715507,-1.6889667538623057,-1.6583123951777,-2.284052659577738,1.4753615473672095,-0.2564828045702031,-1.4340108684976571,-2.3763514639855163
P78,136,50,21,7,8,3,2,1,42.0,38.1,High,1.4104728850763355,1.2321186799419388,1.9122289525999518,2.06429269916504,1.6583123951777,0.50137741307804,-0.35359904854255436,-0.2564828045702031,1.8268485167966382,1.009676090442404
P79,103,40,11,3,3,2,2,1,27.5,27.3,Medium,-0.24066600132022622,-0.4173039170352218,-0.8040053550704347,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.9544727236014373,0.04985725611637929
P80,120,46,16,5,5,3,2,1,34.8,31.3,High,0.609920697732548,0.5723496411510746,0.5541117987647586,0.8132062148225915,0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.4457786594955243,0.4053457132741662
P81,109,42,13,4,3,3,2,1,31.0,23.1,Medium,0.059541068933694076,-0.08741939763978969,-0.2607584935363573,0.18766297265136717,-0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-0.2831193207467294,-0.3234056238992969
P82,134,50,20,6,8,4,1,1,40.0,40.0,High,1.310403861658362,1.2321186799419388,1.6406055218329132,1.4387494569938157,1.6583123951777,1.894092449405929,-0.9632525805124756,-0.2564828045702031,1.4432180008796622,1.1785331075923526
P83,86,38,12,2,1,2,6,1,31.6,8.3,Low,-1.0912527003730004,-0.7471884364306539,-0.532381924303396,-1.0634235116910813,-1.243734296383275,-0.8913376232498492,2.0850150793371305,-0.2564828045702031,-0.16803016597163636,-1.6387129153831084
P84,112,44,15,4,4,3,3,1,34.1,26.7,Medium,0.20964460406065422,0.24246512175564242,0.28248836799772,0.18766297265136717,0.0,0.50137741307804,0.25605448342736686,-0.2564828045702031,0.31150797892458354,-0.003466012457288869
P85,101,40,11,3,3,2,2,1,27.5,27.3,Low,-0.34073502473819967,-0.4173039170352218,-0.8040053550704347,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.9544727236014373,0.04985725611637929
P86,77,34,11,1,1,2,6,1,32.4,9.1,Low,-1.541563305753881,-1.4069574752215182,-0.8040053550704347,-1.6889667538623057,-1.243734296383275,-0.8913376232498492,2.0850150793371305,-0.2564828045702031,-0.014577959604846546,-1.5676152239515508
P87,126,48,18,6,7,3,1,1,37.5,38.9,High,0.9101277679864682,0.9022341605465066,1.0973586602988359,1.4387494569938157,1.243734296383275,0.50137741307804,-0.9632525805124756,-0.2564828045702031,0.9636798559834423,1.0807737818739611
P88,116,46,15,4,5,3,2,1,32.6,33.3,Medium,0.4097826508966011,0.5723496411510746,0.28248836799772,0.18766297265136717,0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.02378509198685159,0.5830899418530593
P89,141,52,22,7,9,4,1,1,42.3,40.9,High,1.660645443621269,1.5620031993373709,2.1838523833669905,2.06429269916504,2.0728904939721247,1.894092449405929,-0.9632525805124756,-0.2564828045702031,1.884393094184184,1.2585180104528544
P90,93,38,10,3,2,3,1,1,26.3,20.0,Low,-0.7410111184100934,-0.7471884364306539,-1.0756287858374733,-0.4378802695198571,-0.82915619758885,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-1.1846510331516227,-0.5989091781965818
P91,119,45,16,5,5,3,2,1,35.6,31.3,High,0.5598861860235612,0.4074073814533585,0.5541117987647586,0.8132062148225915,0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.5992308658623154,0.4053457132741662
P92,107,40,12,3,4,2,2,1,30.0,33.3,Medium,-0.04052795448427935,-0.4173039170352218,-0.532381924303396,-0.4378802695198571,0.0,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.4749345787052174,0.5830899418530593
P93,83,36,14,2,1,2,7,2,38.9,7.1,Low,-1.2413562354999605,-1.077072955826086,0.010864937230681314,-1.0634235116910813,-1.243734296383275,-0.8913376232498492,2.6946686113070517,2.593326135098718,1.2322212171253253,-1.7453594525304443
P94,124,48,17,5,6,3,2,1,35.4,35.3,High,0.8100587445684948,0.9022341605465066,0.8257352295317972,0.8132062148225915,0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.5608678142706174,0.7608341704319528
P95,111,44,14,4,3,3,3,1,31.8,21.4,Medium,0.1596100923516675,0.24246512175564242,0.010864937230681314,0.18766297265136717,-0.414578098794425,0.50137741307804,0.25605448342736686,-0.2564828045702031,-0.1296671143799389,-0.47448821819135656
P96,89,38,10,2,2,3,2,1,26.3,20.0,Low,-0.9411491652460402,-0.7471884364306539,-1.0756287858374733,-1.0634235116910813,-0.82915619758885,0.50137741307804,-0.35359904854255436,-0.2564828045702031,-1.1846510331516227,-0.5989091781965818
P97,67,32,11,1,0,1,8,1,34.4,0.0,Low,-2.041908422843748,-1.7368419946169502,-0.8040053550704347,-1.6889667538623057,-1.6583123951777,-2.284052659577738,3.304322143276973,-0.2564828045702031,0.36905255631212935,-2.3763514639855163
P98,139,50,21,7,8,3,2,1,42.0,38.1,High,1.5605764202032955,1.2321186799419388,1.9122289525999518,2.06429269916504,1.6583123951777,0.50137741307804,-0.35359904854255436,-0.2564828045702031,1.8268485167966382,1.009676090442404
P99,104,40,11,3,3,2,2,1,27.5,27.3,Medium,-0.1906314896112395,-0.4173039170352218,-0.8040053550704347,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.9544727236014373,0.04985725611637929
P100,121,46,16,5,5,3,2,1,34.8,31.3,High,0.6599552094415346,0.5723496411510746,0.5541117987647586,0.8132062148225915,0.414578098794425,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.4457786594955243,0.4053457132741662
