P_ID,EQ,Turns,TT,C1,C2,C3,C4,C5,TI,RelSol,EI_group,EQ_z,EQ_minmax,Turns_minmax,TT_minmax,C1_minmax,C2_minmax,C3_minmax,C4_minmax,C5_minmax,TI_minmax,RelSol_minmax
P11,110,44,12,3,4,3,1,1,27.3,33.3,Medium,0.10957558064268079,0.5625,0.5217391304347826,0.29411764705882354,0.2857142857142857,0.4444444444444444,0.6666666666666666,0.0,0.3333333333333333,0.26171874999999994,0.75
P12,125,50,17,4,6,4,2,1,34.0,35.3,High,0.8600932562774816,0.75,0.782608695652174,0.5882352941176471,0.42857142857142855,0.6666666666666666,1.0,0.14285714285714285,0.3333333333333333,0.5234374999999999,0.795045045045045
P13,82,32,13,3,1,2,5,2,40.6,7.7,Low,-1.2913907472089472,0.2125,0.0,0.35294117647058826,0.2857142857142857,0.1111111111111111,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.78125,0.17342342342342343
P14,108,40,11,3,3,2,2,1,27.5,27.3,Medium,0.009506557224707363,0.5375,0.34782608695652173,0.23529411764705882,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.26953124999999994,0.6148648648648649
P15,130,55,20,6,7,4,2,1,36.4,35.0,High,1.1102658148224152,0.8125,1.0,0.7647058823529411,0.7142857142857143,0.7777777777777778,1.0,0.14285714285714285,0.3333333333333333,0.6171874999999999,0.7882882882882883
P16,91,42,10,2,3,2,2,1,23.8,30.0,Low,-0.8410801418280668,0.325,0.43478260869565216,0.17647058823529413,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.12499999999999997,0.6756756756756757
P17,68,34,7,1,1,1,3,1,20.6,14.3,Low,-1.9918739111347612,0.0375,0.08695652173913043,0.0,0.0,0.1111111111111111,0.0,0.2857142857142857,0.3333333333333333,0.0,0.3220720720720721
P18,115,46,14,4,4,3,2,1,30.4,28.6,Medium,0.3597481391876144,0.625,0.6086956521739131,0.4117647058823529,0.42857142857142855,0.4444444444444444,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.3828124999999999,0.6441441441441442
P19,104,38,11,3,2,3,2,1,28.9,18.2,Medium,-0.1906314896112395,0.4875,0.2608695652173913,0.23529411764705882,0.2857142857142857,0.2222222222222222,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.3242187499999999,0.4099099099099099
P20,128,50,16,4,7,3,1,1,32.0,43.8,High,1.0101967914044416,0.7875,0.782608695652174,0.5294117647058824,0.42857142857142855,0.7777777777777778,0.6666666666666666,0.0,0.3333333333333333,0.44531249999999994,0.9864864864864864
P21,111,41,13,3,4,3,2,1,31.7,30.8,Medium,0.1596100923516675,0.575,0.391304347826087,0.35294117647058826,0.2857142857142857,0.4444444444444444,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.4335937499999999,0.6936936936936937
P22,135,48,19,5,8,3,2,1,39.6,42.1,High,1.3604383733673486,0.875,0.6956521739130435,0.7058823529411765,0.5714285714285714,0.8888888888888888,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.7421875,0.9481981981981983
P23,87,36,15,3,2,2,6,2,41.7,13.3,Low,-1.0412181886640137,0.275,0.17391304347826086,0.47058823529411764,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.82421875,0.2995495495495496
P24,106,42,12,4,3,3,1,1,28.6,25.0,Medium,-0.09056246619326606,0.5125,0.43478260869565216,0.29411764705882354,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3125,0.5630630630630631
P25,120,45,14,4,5,3,1,1,31.1,35.7,High,0.609920697732548,0.6875,0.5652173913043478,0.4117647058823529,0.42857142857142855,0.5555555555555556,0.6666666666666666,0.0,0.3333333333333333,0.41015625,0.8040540540540542
P26,95,37,10,3,2,2,2,1,27.0,20.0,Low,-0.64094209499212,0.375,0.21739130434782608,0.17647058823529413,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.24999999999999994,0.45045045045045046
P27,79,33,9,2,1,1,4,2,27.3,11.1,Low,-1.4414942823359074,0.175,0.043478260869565216,0.11764705882352941,0.14285714285714285,0.1111111111111111,0.0,0.42857142857142855,0.6666666666666666,0.26171874999999994,0.25
P28,119,46,15,3,6,3,2,1,32.6,40.0,High,0.5598861860235612,0.675,0.6086956521739131,0.47058823529411764,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.46875,0.9009009009009009
P29,140,51,22,7,9,3,2,1,43.1,40.9,High,1.6106109319122823,0.9375,0.8260869565217391,0.8823529411764706,0.8571428571428571,1.0,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.87890625,0.9211711711711712
P30,103,39,11,3,3,2,2,1,28.2,27.3,Medium,-0.24066600132022622,0.475,0.30434782608695654,0.23529411764705882,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.2968749999999999,0.6148648648648649
P31,108,44,13,4,3,3,2,1,29.5,23.1,Medium,0.009506557224707363,0.5375,0.5217391304347826,0.35294117647058826,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.34765624999999994,0.5202702702702703
P32,127,49,17,5,6,3,2,1,34.7,35.3,High,0.960162279695455,0.775,0.7391304347826086,0.5882352941176471,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.55078125,0.795045045045045
P33,81,32,12,2,2,2,5,1,37.5,16.7,Low,-1.341425258917934,0.2,0.0,0.29411764705882354,0.14285714285714285,0.2222222222222222,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.6601562499999999,0.3761261261261261
P34,107,40,11,3,4,2,1,1,27.5,36.4,Medium,-0.04052795448427935,0.525,0.34782608695652173,0.23529411764705882,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,0.26953124999999994,0.8198198198198198
P35,131,54,18,5,8,3,1,1,33.3,44.4,High,1.1603003265314018,0.825,0.9565217391304348,0.6470588235294118,0.5714285714285714,0.8888888888888888,0.6666666666666666,0.0,0.3333333333333333,0.49609374999999983,1.0
P36,92,40,12,3,2,3,3,1,30.0,16.7,Low,-0.7910456301190801,0.3375,0.34782608695652173,0.29411764705882354,0.2857142857142857,0.2222222222222222,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.36718749999999994,0.3761261261261261
P37,69,35,8,1,1,2,3,1,22.9,12.5,Low,-1.9418393994257745,0.05,0.13043478260869565,0.058823529411764705,0.0,0.1111111111111111,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.08984374999999989,0.28153153153153154
P38,116,47,15,4,5,3,2,1,31.9,33.3,Medium,0.4097826508966011,0.6375,0.6521739130434783,0.47058823529411764,0.42857142857142855,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.4414062499999999,0.75
P39,105,39,12,3,3,3,2,1,30.8,25.0,Medium,-0.14059697790225278,0.5,0.30434782608695654,0.29411764705882354,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.39843749999999994,0.5630630630630631
P40,129,51,17,5,7,3,1,1,33.3,41.2,High,1.0602313031134285,0.8,0.8260869565217391,0.5882352941176471,0.5714285714285714,0.7777777777777778,0.6666666666666666,0.0,0.3333333333333333,0.49609374999999983,0.927927927927928
P41,113,42,14,4,3,3,3,1,33.3,21.4,Medium,0.2596791157696409,0.6,0.43478260869565216,0.4117647058823529,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.49609374999999983,0.48198198198198194
P42,137,50,20,6,8,4,1,1,40.0,40.0,High,1.4605073967853222,0.9,0.782608695652174,0.7647058823529411,0.7142857142857143,0.8888888888888888,1.0,0.0,0.3333333333333333,0.7578124999999999,0.9009009009009009
P43,84,38,13,3,2,2,5,1,34.2,15.4,Low,-1.191321723790974,0.2375,0.2608695652173913,0.35294117647058826,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.53125,0.34684684684684686
P44,104,40,12,3,4,3,1,1,30.0,33.3,Medium,-0.1906314896112395,0.4875,0.34782608695652173,0.29411764705882354,0.2857142857142857,0.4444444444444444,0.6666666666666666,0.0,0.3333333333333333,0.36718749999999994,0.75
P45,123,46,17,5,6,3,2,1,37.0,35.3,High,0.7600242328595082,0.725,0.6086956521739131,0.5882352941176471,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.6406249999999999,0.795045045045045
P46,93,36,11,2,2,3,3,1,30.6,18.2,Low,-0.7410111184100934,0.35,0.17391304347826086,0.23529411764705882,0.14285714285714285,0.2222222222222222,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.390625,0.4099099099099099
P47,77,33,10,2,1,2,5,1,30.3,10.0,Low,-1.541563305753881,0.15,0.043478260869565216,0.17647058823529413,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.37890624999999994,0.22522522522522523
P48,117,47,15,4,5,3,2,1,31.9,33.3,Medium,0.4598171626055878,0.65,0.6521739130434783,0.47058823529411764,0.42857142857142855,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.4414062499999999,0.75
P49,141,53,21,7,9,4,1,1,39.6,42.9,High,1.660645443621269,0.95,0.9130434782608695,0.8235294117647058,0.8571428571428571,1.0,1.0,0.0,0.3333333333333333,0.7421875,0.9662162162162162
P50,102,39,11,3,3,2,2,1,28.2,27.3,Low,-0.29070051302921296,0.4625,0.30434782608695654,0.23529411764705882,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.2968749999999999,0.6148648648648649
P51,110,44,13,4,3,3,2,1,29.5,23.1,Medium,0.10957558064268079,0.5625,0.5217391304347826,0.35294117647058826,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.34765624999999994,0.5202702702702703
P52,125,48,18,5,6,3,3,1,37.5,33.3,High,0.8600932562774816,0.75,0.6956521739130435,0.6470588235294118,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.6601562499999999,0.75
P53,82,32,14,2,1,2,7,2,43.8,7.1,Low,-1.2913907472089472,0.2125,0.0,0.4117647058823529,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.9062499999999998,0.15990990990990991
P54,108,40,12,3,4,3,1,1,30.0,33.3,Medium,0.009506557224707363,0.5375,0.34782608695652173,0.29411764705882354,0.2857142857142857,0.4444444444444444,0.6666666666666666,0.0,0.3333333333333333,0.36718749999999994,0.75
P55,130,55,21,7,7,4,2,1,38.2,33.3,High,1.1102658148224152,0.8125,1.0,0.8235294117647058,0.8571428571428571,0.7777777777777778,1.0,0.14285714285714285,0.3333333333333333,0.6875,0.75
P56,91,40,11,3,2,3,2,1,27.5,18.2,Low,-0.8410801418280668,0.325,0.34782608695652173,0.23529411764705882,0.2857142857142857,0.2222222222222222,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.26953124999999994,0.4099099099099099
P57,68,34,9,1,0,1,6,1,26.5,0.0,Low,-1.9918739111347612,0.0375,0.08695652173913043,0.11764705882352941,0.0,0.0,0.0,0.7142857142857143,0.3333333333333333,0.23046874999999994,0.0
P58,115,46,14,4,4,3,2,1,30.4,28.6,Medium,0.3597481391876144,0.625,0.6086956521739131,0.4117647058823529,0.42857142857142855,0.4444444444444444,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.3828124999999999,0.6441441441441442
P59,104,38,10,3,3,2,1,1,26.3,30.0,Medium,-0.1906314896112395,0.4875,0.2608695652173913,0.17647058823529413,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.22265624999999997,0.6756756756756757
P60,128,50,19,6,7,3,2,1,38.0,36.8,High,1.0101967914044416,0.7875,0.782608695652174,0.7058823529411765,0.7142857142857143,0.7777777777777778,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.6796874999999999,0.8288288288288288
P61,106,42,12,3,3,3,2,1,28.6,25.0,Medium,-0.09056246619326606,0.5125,0.43478260869565216,0.29411764705882354,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.3125,0.5630630630630631
P62,132,50,19,6,7,3,2,1,38.0,36.8,High,1.2103348382403885,0.8375,0.782608695652174,0.7058823529411765,0.7142857142857143,0.7777777777777778,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.6796874999999999,0.8288288288288288
P63,88,38,15,2,1,2,7,3,39.5,6.7,Low,-0.991183676955027,0.2875,0.2608695652173913,0.47058823529411764,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.8571428571428571,1.0,0.7382812499999999,0.15090090090090091
P64,115,44,14,4,4,3,2,1,31.8,28.6,Medium,0.3597481391876144,0.625,0.5217391304347826,0.4117647058823529,0.42857142857142855,0.4444444444444444,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.43749999999999994,0.6441441441441442
P65,102,40,11,3,3,2,2,1,27.5,27.3,Low,-0.29070051302921296,0.4625,0.34782608695652173,0.23529411764705882,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.26953124999999994,0.6148648648648649
P66,74,34,10,1,1,2,5,1,29.4,10.0,Low,-1.691666840880841,0.1125,0.08695652173913043,0.17647058823529413,0.0,0.1111111111111111,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.3437499999999999,0.22522522522522523
P67,128,48,18,5,7,3,2,1,37.5,38.9,High,1.0101967914044416,0.7875,0.6956521739130435,0.6470588235294118,0.5714285714285714,0.7777777777777778,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.6601562499999999,0.8761261261261262
P68,110,42,13,4,3,3,2,1,31.0,23.1,Medium,0.10957558064268079,0.5625,0.43478260869565216,0.35294117647058826,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.40624999999999994,0.5202702702702703
P69,145,52,24,8,9,4,2,1,46.2,37.5,High,1.8607834904572158,1.0,0.8695652173913043,1.0,1.0,1.0,1.0,0.14285714285714285,0.3333333333333333,1.0,0.8445945945945946
P70,97,38,10,3,2,2,2,1,26.3,20.0,Low,-0.5408730715741465,0.4,0.2608695652173913,0.17647058823529413,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.22265624999999997,0.45045045045045046
P71,118,46,16,5,5,3,2,1,34.8,31.3,High,0.5098516743145746,0.6625,0.6086956521739131,0.5294117647058824,0.5714285714285714,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.5546874999999998,0.704954954954955
P72,108,40,12,3,4,2,2,1,30.0,33.3,Medium,0.009506557224707363,0.5375,0.34782608695652173,0.29411764705882354,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.36718749999999994,0.75
P73,81,36,13,2,1,2,6,1,36.1,7.7,Low,-1.341425258917934,0.2,0.17391304347826086,0.35294117647058826,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.60546875,0.17342342342342343
P74,122,48,17,5,6,3,2,1,35.4,35.3,High,0.7099897211505214,0.7125,0.6956521739130435,0.5882352941176471,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.5781249999999999,0.795045045045045
P75,114,44,14,4,3,3,3,1,31.8,21.4,Medium,0.3097136274786277,0.6125,0.5217391304347826,0.4117647058823529,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.43749999999999994,0.48198198198198194
P76,90,38,10,2,2,3,2,1,26.3,20.0,Low,-0.8911146535370535,0.3125,0.2608695652173913,0.17647058823529413,0.14285714285714285,0.2222222222222222,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.22265624999999997,0.45045045045045046
P77,65,32,8,1,0,1,5,1,25.0,0.0,Low,-2.1419774462617216,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,0.17187499999999994,0.0
P78,136,50,21,7,8,3,2,1,42.0,38.1,High,1.4104728850763355,0.8875,0.782608695652174,0.8235294117647058,0.8571428571428571,0.8888888888888888,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.8359374999999999,0.8581081081081081
P79,103,40,11,3,3,2,2,1,27.5,27.3,Medium,-0.24066600132022622,0.475,0.34782608695652173,0.23529411764705882,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.26953124999999994,0.6148648648648649
P80,120,46,16,5,5,3,2,1,34.8,31.3,High,0.609920697732548,0.6875,0.6086956521739131,0.5294117647058824,0.5714285714285714,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.5546874999999998,0.704954954954955
P81,109,42,13,4,3,3,2,1,31.0,23.1,Medium,0.059541068933694076,0.55,0.43478260869565216,0.35294117647058826,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.40624999999999994,0.5202702702702703
P82,134,50,20,6,8,4,1,1,40.0,40.0,High,1.310403861658362,0.8625,0.782608695652174,0.7647058823529411,0.7142857142857143,0.8888888888888888,1.0,0.0,0.3333333333333333,0.7578124999999999,0.9009009009009009
P83,86,38,12,2,1,2,6,1,31.6,8.3,Low,-1.0912527003730004,0.2625,0.2608695652173913,0.29411764705882354,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.4296875,0.18693693693693697
P84,112,44,15,4,4,3,3,1,34.1,26.7,Medium,0.20964460406065422,0.5875,0.5217391304347826,0.47058823529411764,0.42857142857142855,0.4444444444444444,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.52734375,0.6013513513513513
P85,101,40,11,3,3,2,2,1,27.5,27.3,Low,-0.34073502473819967,0.45,0.34782608695652173,0.23529411764705882,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.26953124999999994,0.6148648648648649
P86,77,34,11,1,1,2,6,1,32.4,9.1,Low,-1.541563305753881,0.15,0.08695652173913043,0.23529411764705882,0.0,0.1111111111111111,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.4609374999999999,0.20495495495495494
P87,126,48,18,6,7,3,1,1,37.5,38.9,High,0.9101277679864682,0.7625,0.6956521739130435,0.6470588235294118,0.7142857142857143,0.7777777777777778,0.6666666666666666,0.0,0.3333333333333333,0.6601562499999999,0.8761261261261262
P88,116,46,15,4,5,3,2,1,32.6,33.3,Medium,0.4097826508966011,0.6375,0.6086956521739131,0.47058823529411764,0.42857142857142855,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.46875,0.75
P89,141,52,22,7,9,4,1,1,42.3,40.9,High,1.660645443621269,0.95,0.8695652173913043,0.8823529411764706,0.8571428571428571,1.0,1.0,0.0,0.3333333333333333,0.8476562499999998,0.9211711711711712
P90,93,38,10,3,2,3,1,1,26.3,20.0,Low,-0.7410111184100934,0.35,0.2608695652173913,0.17647058823529413,0.2857142857142857,0.2222222222222222,0.6666666666666666,0.0,0.3333333333333333,0.22265624999999997,0.45045045045045046
P91,119,45,16,5,5,3,2,1,35.6,31.3,High,0.5598861860235612,0.675,0.5652173913043478,0.5294117647058824,0.5714285714285714,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.5859375,0.704954954954955
P92,107,40,12,3,4,2,2,1,30.0,33.3,Medium,-0.04052795448427935,0.525,0.34782608695652173,0.29411764705882354,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.36718749999999994,0.75
P93,83,36,14,2,1,2,7,2,38.9,7.1,Low,-1.2413562354999605,0.225,0.17391304347826086,0.4117647058823529,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7148437499999999,0.15990990990990991
P94,124,48,17,5,6,3,2,1,35.4,35.3,High,0.8100587445684948,0.7375,0.6956521739130435,0.5882352941176471,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.5781249999999999,0.795045045045045
P95,111,44,14,4,3,3,3,1,31.8,21.4,Medium,0.1596100923516675,0.575,0.5217391304347826,0.4117647058823529,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.43749999999999994,0.48198198198198194
P96,89,38,10,2,2,3,2,1,26.3,20.0,Low,-0.9411491652460402,0.3,0.2608695652173913,0.17647058823529413,0.14285714285714285,0.2222222222222222,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.22265624999999997,0.45045045045045046
P97,67,32,11,1,0,1,8,1,34.4,0.0,Low,-2.041908422843748,0.025,0.0,0.23529411764705882,0.0,0.0,0.0,1.0,0.3333333333333333,0.5390624999999999,0.0
P98,139,50,21,7,8,3,2,1,42.0,38.1,High,1.5605764202032955,0.925,0.782608695652174,0.8235294117647058,0.8571428571428571,0.8888888888888888,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.8359374999999999,0.8581081081081081
P99,104,40,11,3,3,2,2,1,27.5,27.3,Medium,-0.1906314896112395,0.4875,0.34782608695652173,0.23529411764705882,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.26953124999999994,0.6148648648648649
P100,121,46,16,5,5,3,2,1,34.8,31.3,High,0.6599552094415346,0.7,0.6086956521739131,0.5294117647058824,0.5714285714285714,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.5546874999999998,0.704954954954955
